generation=0, runtime=7.43s, best_objective=1455571.107500, note=start
generation=1, runtime=14.86s, best_objective=1455571.107500, note=checkpoint
generation=2, runtime=21.45s, best_objective=1455571.107500, note=checkpoint
generation=3, runtime=27.61s, best_objective=1455571.107500, note=checkpoint
generation=4, runtime=34.19s, best_objective=1455571.107500, note=checkpoint
generation=5, runtime=40.95s, best_objective=1455571.107500, note=checkpoint
generation=6, runtime=46.98s, best_objective=1455571.107500, note=checkpoint
generation=7, runtime=53.18s, best_objective=1455571.107500, note=checkpoint
generation=8, runtime=63.48s, best_objective=1455571.107500, note=checkpoint
generation=9, runtime=73.28s, best_objective=1455571.107500, note=checkpoint
generation=10, runtime=82.22s, best_objective=1455571.107500, note=checkpoint
generation=11, runtime=88.20s, best_objective=1455571.107500, note=checkpoint
generation=12, runtime=109.70s, best_objective=1455571.107500, note=checkpoint
generation=13, runtime=143.24s, best_objective=1455571.107500, note=checkpoint
generation=14, runtime=160.01s, best_objective=1455571.107500, note=checkpoint
generation=15, runtime=168.79s, best_objective=1455571.107500, note=checkpoint
generation=16, runtime=178.33s, best_objective=1455571.107500, note=checkpoint
generation=17, runtime=187.25s, best_objective=1455571.107500, note=checkpoint
generation=18, runtime=197.35s, best_objective=1455571.107500, note=checkpoint
generation=19, runtime=210.74s, best_objective=1455571.107500, note=checkpoint
generation=20, runtime=221.46s, best_objective=1455571.107500, note=checkpoint
generation=21, runtime=229.02s, best_objective=1455571.107500, note=checkpoint
generation=22, runtime=236.59s, best_objective=1455571.107500, note=checkpoint
generation=23, runtime=250.88s, best_objective=1455571.107500, note=checkpoint
generation=24, runtime=262.76s, best_objective=1455571.107500, note=checkpoint
generation=25, runtime=272.43s, best_objective=1455571.107500, note=checkpoint
generation=26, runtime=280.16s, best_objective=1455571.107500, note=checkpoint
generation=27, runtime=286.79s, best_objective=1455571.107500, note=checkpoint
generation=28, runtime=293.25s, best_objective=1455571.107500, note=checkpoint
generation=29, runtime=299.49s, best_objective=1455571.107500, note=checkpoint
generation=30, runtime=306.55s, best_objective=1455571.107500, note=checkpoint
generation=31, runtime=313.45s, best_objective=1455571.107500, note=checkpoint
generation=32, runtime=321.35s, best_objective=1455571.107500, note=checkpoint
generation=33, runtime=328.76s, best_objective=1455571.107500, note=checkpoint
generation=34, runtime=337.81s, best_objective=1455571.107500, note=checkpoint
generation=35, runtime=344.70s, best_objective=1455571.107500, note=checkpoint
generation=36, runtime=353.01s, best_objective=1455571.107500, note=checkpoint
generation=37, runtime=359.83s, best_objective=1455571.107500, note=checkpoint
generation=38, runtime=366.55s, best_objective=1455571.107500, note=checkpoint
generation=39, runtime=373.57s, best_objective=1455571.107500, note=checkpoint
generation=40, runtime=379.94s, best_objective=1455571.107500, note=checkpoint
generation=41, runtime=386.29s, best_objective=1455571.107500, note=checkpoint
generation=42, runtime=393.38s, best_objective=1455571.107500, note=checkpoint
generation=43, runtime=400.16s, best_objective=1455571.107500, note=checkpoint
generation=44, runtime=406.75s, best_objective=1455571.107500, note=checkpoint
generation=45, runtime=413.71s, best_objective=1455571.107500, note=checkpoint
generation=46, runtime=420.09s, best_objective=1455571.107500, note=checkpoint
generation=47, runtime=426.46s, best_objective=1455571.107500, note=checkpoint
generation=48, runtime=433.05s, best_objective=1455571.107500, note=checkpoint
generation=49, runtime=439.62s, best_objective=1455571.107500, note=checkpoint
generation=50, runtime=853.25s, best_objective=1454827.872800, note=elitism 1/50
generation=50, runtime=7925.53s, best_objective=1454827.872800, note=elitism 2/50
generation=49, runtime=0.00s, best_objective=1455571.107500, note=resume
generation=50, runtime=340.77s, best_objective=1454827.872800, note=elitism 1/50
