generation=0, runtime=0.08s, best_objective=1512143.042900, note=start
generation=1, runtime=0.16s, best_objective=1512143.042900, note=checkpoint
generation=2, runtime=0.24s, best_objective=1512143.042900, note=checkpoint
generation=3, runtime=0.33s, best_objective=1512143.042900, note=checkpoint
generation=4, runtime=0.42s, best_objective=1512143.042900, note=checkpoint
generation=5, runtime=0.53s, best_objective=1512143.042900, note=checkpoint
generation=5, runtime=0.53s, best_objective=1512143.042900, note=finished
generation=0, runtime=42.48s, best_objective=1455571.107500, note=start
generation=1, runtime=75.88s, best_objective=1455571.107500, note=checkpoint
generation=2, runtime=114.72s, best_objective=1455571.107500, note=checkpoint
generation=3, runtime=150.61s, best_objective=1455571.107500, note=checkpoint
generation=4, runtime=193.54s, best_objective=1455571.107500, note=checkpoint
generation=5, runtime=229.60s, best_objective=1455571.107500, note=checkpoint
generation=5, runtime=229.60s, best_objective=1455571.107500, note=finished
