generation=0, runtime=8.97s, best_objective=1455571.107500, note=start
generation=1, runtime=35.50s, best_objective=1455571.107500, note=checkpoint
generation=2, runtime=66.59s, best_objective=1455571.107500, note=checkpoint
generation=3, runtime=76.28s, best_objective=1455571.107500, note=checkpoint
generation=4, runtime=83.52s, best_objective=1455571.107500, note=checkpoint
generation=5, runtime=90.13s, best_objective=1455571.107500, note=checkpoint
generation=6, runtime=94.70s, best_objective=1455571.107500, note=checkpoint
generation=7, runtime=105.37s, best_objective=1455571.107500, note=checkpoint
generation=8, runtime=131.40s, best_objective=1455571.107500, note=checkpoint
generation=9, runtime=162.05s, best_objective=1455571.107500, note=checkpoint
generation=10, runtime=181.12s, best_objective=1455571.107500, note=checkpoint
generation=11, runtime=190.09s, best_objective=1455571.107500, note=checkpoint
generation=12, runtime=194.95s, best_objective=1455571.107500, note=checkpoint
generation=13, runtime=200.13s, best_objective=1455571.107500, note=checkpoint
generation=14, runtime=204.56s, best_objective=1455571.107500, note=checkpoint
generation=15, runtime=207.97s, best_objective=1455571.107500, note=checkpoint
generation=16, runtime=211.27s, best_objective=1455571.107500, note=checkpoint
generation=17, runtime=215.06s, best_objective=1455571.107500, note=checkpoint
generation=18, runtime=219.51s, best_objective=1455571.107500, note=checkpoint
generation=19, runtime=222.90s, best_objective=1455571.107500, note=checkpoint
generation=20, runtime=226.26s, best_objective=1455571.107500, note=checkpoint
generation=21, runtime=230.20s, best_objective=1455571.107500, note=checkpoint
generation=22, runtime=233.69s, best_objective=1455571.107500, note=checkpoint
generation=23, runtime=237.19s, best_objective=1455571.107500, note=checkpoint
generation=24, runtime=240.69s, best_objective=1455571.107500, note=checkpoint
generation=25, runtime=244.44s, best_objective=1455571.107500, note=checkpoint
generation=26, runtime=248.37s, best_objective=1455571.107500, note=checkpoint
generation=27, runtime=252.60s, best_objective=1455571.107500, note=checkpoint
generation=28, runtime=256.38s, best_objective=1455571.107500, note=checkpoint
generation=29, runtime=259.78s, best_objective=1455571.107500, note=checkpoint
generation=30, runtime=263.04s, best_objective=1455571.107500, note=checkpoint
generation=31, runtime=266.44s, best_objective=1455571.107500, note=checkpoint
generation=32, runtime=269.89s, best_objective=1455571.107500, note=checkpoint
generation=33, runtime=273.29s, best_objective=1455571.107500, note=checkpoint
generation=34, runtime=276.43s, best_objective=1455571.107500, note=checkpoint
generation=35, runtime=279.78s, best_objective=1455571.107500, note=checkpoint
generation=36, runtime=283.03s, best_objective=1455571.107500, note=checkpoint
generation=37, runtime=286.31s, best_objective=1455571.107500, note=checkpoint
generation=38, runtime=289.60s, best_objective=1455571.107500, note=checkpoint
generation=39, runtime=292.80s, best_objective=1455571.107500, note=checkpoint
generation=40, runtime=296.08s, best_objective=1455571.107500, note=checkpoint
generation=41, runtime=299.56s, best_objective=1455571.107500, note=checkpoint
generation=42, runtime=302.94s, best_objective=1455571.107500, note=checkpoint
generation=43, runtime=306.34s, best_objective=1455571.107500, note=checkpoint
generation=44, runtime=309.72s, best_objective=1455571.107500, note=checkpoint
generation=45, runtime=312.95s, best_objective=1455571.107500, note=checkpoint
generation=46, runtime=316.05s, best_objective=1455571.107500, note=checkpoint
generation=47, runtime=319.22s, best_objective=1455571.107500, note=checkpoint
