generation=0, runtime=5.95s, best_objective=1455571.107500, note=start
generation=1, runtime=11.69s, best_objective=1455571.107500, note=checkpoint
generation=2, runtime=17.09s, best_objective=1455571.107500, note=checkpoint
generation=3, runtime=25.68s, best_objective=1455571.107500, note=checkpoint
generation=4, runtime=30.80s, best_objective=1455571.107500, note=checkpoint
generation=5, runtime=37.31s, best_objective=1455571.107500, note=checkpoint
generation=6, runtime=42.92s, best_objective=1455571.107500, note=checkpoint
generation=7, runtime=48.42s, best_objective=1455571.107500, note=checkpoint
generation=8, runtime=53.40s, best_objective=1455571.107500, note=checkpoint
generation=9, runtime=61.11s, best_objective=1455571.107500, note=checkpoint
generation=10, runtime=68.75s, best_objective=1455571.107500, note=checkpoint
generation=11, runtime=73.17s, best_objective=1455571.107500, note=checkpoint
generation=12, runtime=77.86s, best_objective=1455571.107500, note=checkpoint
generation=13, runtime=82.74s, best_objective=1455571.107500, note=checkpoint
generation=14, runtime=87.33s, best_objective=1455571.107500, note=checkpoint
generation=15, runtime=91.75s, best_objective=1455571.107500, note=checkpoint
generation=16, runtime=96.85s, best_objective=1455571.107500, note=checkpoint
generation=17, runtime=101.54s, best_objective=1455571.107500, note=checkpoint
generation=18, runtime=106.24s, best_objective=1455571.107500, note=checkpoint
generation=19, runtime=110.70s, best_objective=1455571.107500, note=checkpoint
generation=20, runtime=115.80s, best_objective=1455571.107500, note=checkpoint
generation=21, runtime=120.36s, best_objective=1455571.107500, note=checkpoint
generation=22, runtime=124.95s, best_objective=1455571.107500, note=checkpoint
generation=23, runtime=129.19s, best_objective=1455571.107500, note=checkpoint
generation=24, runtime=134.04s, best_objective=1455571.107500, note=checkpoint
generation=25, runtime=138.80s, best_objective=1455571.107500, note=checkpoint
generation=26, runtime=143.46s, best_objective=1455571.107500, note=checkpoint
generation=27, runtime=148.53s, best_objective=1455571.107500, note=checkpoint
generation=28, runtime=154.55s, best_objective=1455571.107500, note=checkpoint
generation=29, runtime=159.60s, best_objective=1455571.107500, note=checkpoint
generation=30, runtime=164.87s, best_objective=1455571.107500, note=checkpoint
generation=31, runtime=173.00s, best_objective=1455571.107500, note=checkpoint
generation=32, runtime=178.36s, best_objective=1455571.107500, note=checkpoint
generation=33, runtime=183.93s, best_objective=1455571.107500, note=checkpoint
generation=34, runtime=187.96s, best_objective=1455571.107500, note=checkpoint
generation=35, runtime=191.98s, best_objective=1455571.107500, note=checkpoint
generation=36, runtime=196.13s, best_objective=1455571.107500, note=checkpoint
generation=37, runtime=200.52s, best_objective=1455571.107500, note=checkpoint
generation=38, runtime=205.64s, best_objective=1455571.107500, note=checkpoint
generation=39, runtime=213.03s, best_objective=1455571.107500, note=checkpoint
generation=40, runtime=221.50s, best_objective=1455571.107500, note=checkpoint
generation=41, runtime=226.55s, best_objective=1455571.107500, note=checkpoint
generation=42, runtime=230.67s, best_objective=1455571.107500, note=checkpoint
generation=43, runtime=234.77s, best_objective=1455571.107500, note=checkpoint
generation=44, runtime=239.57s, best_objective=1455571.107500, note=checkpoint
generation=45, runtime=244.41s, best_objective=1455571.107500, note=checkpoint
generation=46, runtime=252.51s, best_objective=1455571.107500, note=checkpoint
generation=47, runtime=257.16s, best_objective=1455571.107500, note=checkpoint
generation=48, runtime=262.15s, best_objective=1455571.107500, note=checkpoint
generation=49, runtime=267.04s, best_objective=1455571.107500, note=checkpoint
generation=50, runtime=388.35s, best_objective=1454827.872800, note=elitism 1/3
generation=50, runtime=922.81s, best_objective=1454827.872800, note=elitism 2/3
generation=50, runtime=2532.19s, best_objective=1454827.872800, note=elitism 3/3
generation=50, runtime=2532.20s, best_objective=1454827.872800, note=checkpoint
generation=51, runtime=2535.45s, best_objective=1454827.872800, note=checkpoint
generation=51, runtime=2535.45s, best_objective=1454827.872800, note=finished
